Time;Size1;Count1 (TC);Size2;Count2 (TC);Size3;Count3 (TC);Size4;Count4 (TC);Size5;Count5 (TC);Size6;Count6 (TC);AT (C);RH (%);Location;Seconds;A1Size;A2Size;Status;
2023-02-01 17:07:04;0,3;3378;0,5;2538;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:05;0,3;3357;0,5;2555;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:06;0,3;3281;0,5;2280;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:07;0,3;3379;0,5;2426;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:08;0,3;3408;0,5;2352;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:09;0,3;3326;0,5;2387;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:10;0,3;3375;0,5;2436;1;2;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:11;0,3;3378;0,5;2388;1;2;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:12;0,3;3234;0,5;2275;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:13;0,3;3151;0,5;2249;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:14;0,3;3383;0,5;2502;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:15;0,3;3292;0,5;2435;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:16;0,3;3277;0,5;2596;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:17;0,3;3312;0,5;2509;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:18;0,3;3200;0,5;2195;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:19;0,3;3234;0,5;2217;1;2;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:20;0,3;3384;0,5;2566;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:21;0,3;3464;0,5;2533;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:22;0,3;3373;0,5;2373;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:23;0,3;3371;0,5;2339;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:24;0,3;3548;0,5;2487;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:25;0,3;3603;0,5;2487;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:26;0,3;3211;0,5;2248;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:27;0,3;3200;0,5;2400;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:28;0,3;3232;0,5;2479;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:29;0,3;3463;0,5;2498;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:30;0,3;3531;0,5;2483;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:31;0,3;3364;0,5;2456;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:32;0,3;3531;0,5;2599;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:33;0,3;3364;0,5;2355;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:34;0,3;3393;0,5;2650;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:35;0,3;3270;0,5;2556;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:36;0,3;3292;0,5;2511;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:37;0,3;3256;0,5;2499;1;2;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:38;0,3;3306;0,5;2483;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:39;0,3;3601;0,5;2604;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:40;0,3;3451;0,5;2400;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:41;0,3;3320;0,5;2389;1;2;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:42;0,3;3261;0,5;2541;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:43;0,3;3272;0,5;2433;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:44;0,3;3297;0,5;2398;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:45;0,3;3208;0,5;2428;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
